Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Collection
portable-sealing-machine,Lumu™ Portable Bag Sealing Machine,"<p>Keep your snacks and food fresh with this handy portable sealing machine. Seals any plastic bag in seconds with a simple slide. Compact enough to carry in your pocket or hang on a keychain.</p><ul><li>Instant heat sealing</li><li>Works on all plastic bags</li><li>Battery operated</li><li>Ultra-compact & portable</li><li>Magnetic fridge mount</li></ul>",Lumu,Kitchen Gadget,"Kitchen, Sealer, Food Storage, Gadget, Home, Trending",TRUE,Color,Default,PSMC-N-HAE-GLD-ZAM,50,shopify,100,deny,manual,29.00,59.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/PSMC-N-HAE-GLD-ZAM,1,Portable Bag Sealing Machine,Portable Bag Sealing Machine | Lumu,Keep food fresh with the Lumu Portable Bag Sealer. Seals any plastic bag in seconds. Free shipping across GCC.,Home & Kitchen Essentials
quran-speaker-sq669,Lumu™ Quran Speaker (SQ669),"<p>Experience the beauty of Quran recitation with this premium Quran speaker. Features multiple renowned reciters, LED moon lamp design, and remote control. A beautiful Islamic gift and home decoration piece.</p><ul><li>Full Quran with multiple reciters</li><li>16 language translations</li><li>LED moon lamp design</li><li>Remote control included</li><li>Bluetooth connectivity</li></ul>",Lumu,Speaker,"Quran, Speaker, Islamic, Gift, Home Decor, Bluetooth, Trending",TRUE,Color,Default,HQSK-N-HAE-GLD-ZAM,400,shopify,100,deny,manual,139.00,279.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/HQSK-N-HAE-GLD-ZAM,1,Quran Speaker SQ669,Quran Speaker SQ669 | Lumu,Premium Quran Speaker with LED moon lamp design. Multiple reciters and Bluetooth. Perfect Islamic gift. Shop at Lumu.,Home & Kitchen Essentials
baby-sitter-jumping,Lumu™ Baby Bouncer Activity Jumper,"<p>Keep your little one entertained and active with this colorful baby bouncer jumping seat. Adjustable height, 360° rotating seat, and multiple activity toys to boost motor skills and coordination.</p><ul><li>360° rotating seat</li><li>Adjustable height settings</li><li>Multiple activity toys</li><li>Sturdy steel frame</li><li>Easy to fold and store</li></ul>",Lumu,Baby Toy,"Baby, Jumper, Bouncer, Kids, Toys, Gift",TRUE,Color,Default,BSJ-N-TY-GLD-ZAM,2000,shopify,50,deny,manual,109.00,219.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/BSJ-N-TY-GLD-ZAM,1,Baby Activity Jumper,Baby Bouncer Activity Jumper | Lumu,Keep your baby entertained with the Lumu Baby Bouncer. 360 rotating seat with activity toys. Free shipping across GCC.,Trending & Viral Finds
earwax-removal-kit,Lumu™ Professional Earwax Removal Kit,"<p>Safe and effective earwax removal with this professional-grade LED camera ear cleaner. Built-in WiFi camera connects to your phone for real-time viewing. Includes multiple soft tip attachments.</p><ul><li>HD WiFi camera with LED light</li><li>Real-time phone viewing</li><li>6 soft silicone tips</li><li>Safe for all ages</li><li>USB rechargeable</li></ul>",Lumu,Health Tool,"Ear Care, Health, Gadget, Tech, Personal Care, Trending",TRUE,Color,Default,ERK-N-GF-GLD-ZAM,100,shopify,100,deny,manual,69.00,149.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ERK-N-GF-GLD-ZAM,1,Earwax Removal Kit,Professional Earwax Removal Kit | Lumu,Safe earwax removal with HD WiFi camera. See real-time on your phone. Shop now at Lumu.,Health & Beauty
a5-wireless-airpods,Lumu™ A-5 Wireless Earbuds,"<p>Immerse yourself in crystal-clear sound with these sleek wireless earbuds. Bluetooth 5.3 for stable connectivity, touch controls, and a compact charging case with LED battery display.</p><ul><li>Bluetooth 5.3 connectivity</li><li>Touch controls</li><li>LED battery display case</li><li>Up to 24hr battery with case</li><li>IPX4 sweat resistant</li></ul>",Lumu,Earbuds,"Earbuds, Airpods, Wireless, Bluetooth, Tech, Music, Trending",TRUE,Color,White,A5A-N-MAW-GLD-ZAM,50,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/A5A-N-MAW-GLD-ZAM,1,A-5 Wireless Earbuds,A-5 Wireless Earbuds | Lumu,Crystal-clear sound with Lumu A-5 Wireless Earbuds. Bluetooth 5.3 with 24hr battery. Free shipping across GCC.,Tech & Smart Gadgets
nicotinamide-toothpaste,Lumu™ Oralhoe Nicotinamide Whitening Toothpaste,"<p>Achieve a brighter smile with this advanced nicotinamide whitening toothpaste. Formulated to remove stains, freshen breath, and strengthen enamel with gentle yet effective ingredients.</p><ul><li>Advanced whitening formula</li><li>Removes coffee & tea stains</li><li>Freshens breath for 12 hours</li><li>Strengthens enamel</li><li>Gentle on sensitive teeth</li></ul>",Lumu,Toothpaste,"Oral Care, Toothpaste, Whitening, Beauty, Health",TRUE,Size,Default,ONDT-N-GF-GLD-ZAM,120,shopify,100,deny,manual,35.00,69.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ONDT-N-GF-GLD-ZAM,1,Nicotinamide Whitening Toothpaste,Nicotinamide Whitening Toothpaste | Lumu,Brighter whiter smile with Lumu Whitening Toothpaste. Removes stains and freshens breath. Shop now.,Health & Beauty
pore-cleaning-device,Lumu™ Pore Deep Cleaning Device,"<p>Purify your skin with this professional pore cleaning device. Powerful vacuum suction removes blackheads, whiteheads, and excess oil. Multiple suction levels and interchangeable heads for all skin types.</p><ul><li>Adjustable suction levels</li><li>5 interchangeable heads</li><li>USB rechargeable</li><li>LED display</li><li>Gentle on all skin types</li></ul>",Lumu,Skincare Device,"Skin Care, Pore Cleaner, Blackhead Remover, Beauty, Trending",TRUE,Color,Default,PCD-N-GF-GLD-ZAM,150,shopify,100,deny,manual,45.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/PCD-N-GF-GLD-ZAM,1,Pore Deep Cleaning Device,Pore Deep Cleaning Device | Lumu,Professional pore cleaning at home. Removes blackheads with vacuum suction. Free shipping across GCC.,Health & Beauty
fighter-rc-jet,Lumu™ Fighter Super RC Jet Plane,"<p>Take to the skies with this thrilling remote control fighter jet. Built with durable EPP foam, 2.4GHz remote for long-range control, and gyroscope stabilization for smooth flight. Perfect for kids and adults.</p><ul><li>2.4GHz long range control</li><li>Gyroscope auto-stabilization</li><li>Durable EPP foam body</li><li>USB rechargeable battery</li><li>Ready to fly out of box</li></ul>",Lumu,RC Toy,"RC, Remote Control, Jet, Plane, Toys, Kids, Gift, Trending",TRUE,Color,Default,FICJ-N-TY-GLD-ZAM,300,shopify,50,deny,manual,99.00,199.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/FICJ-N-TY-GLD-ZAM,1,Fighter RC Jet Plane,Fighter Super RC Jet Plane | Lumu,Thrilling remote control fighter jet. Durable and easy to fly. Perfect gift for kids and adults. Shop at Lumu.,Trending & Viral Finds
car-scratch-wax,Lumu™ Car Scratch Repair Wax,"<p>Restore your car's showroom shine with this professional car scratch repair wax. Removes light scratches, swirl marks, and oxidation. Easy to apply with included sponge applicator.</p><ul><li>Removes light scratches & swirls</li><li>Restores paint shine</li><li>UV protection layer</li><li>Sponge applicator included</li><li>Works on all car colors</li></ul>",Lumu,Car Care,"Car, Auto, Scratch Repair, Wax, Polish, Trending",TRUE,Size,Default,ZMYD1941132-GLD-ZAM,200,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMYD1941132-GLD-ZAM,1,Car Scratch Repair Wax,Car Scratch Repair Wax | Lumu,Restore your cars showroom shine. Removes light scratches and swirl marks. Shop now at Lumu.,Trending & Viral Finds
mini-hair-straightener-comb,Lumu™ Mini Hair Straightening Comb,"<p>Straighten your hair on the go with this compact mini hair straightening comb. Heats up in 30 seconds with adjustable temperature. Anti-scald design keeps you safe while styling.</p><ul><li>Heats in 30 seconds</li><li>Adjustable temperature</li><li>Anti-scald rounded teeth</li><li>Compact travel design</li><li>Dual voltage worldwide use</li></ul>",Lumu,Hair Straightener,"Hair Straightener, Comb, Beauty, Salon, Women, Travel, Trending",TRUE,Color,Default,ZMJF247108601AZ-GLD-ZAM,200,shopify,100,deny,manual,79.00,159.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJF247108601AZ-GLD-ZAM,1,Mini Hair Straightening Comb,Mini Hair Straightening Comb | Lumu,Straighten your hair on the go. Heats in 30 seconds with anti-scald design. Free shipping across GCC.,Health & Beauty
handheld-ironing-machine,Lumu™ Handheld Garment Steamer,"<p>Wrinkle-free clothes in minutes with this powerful handheld garment steamer. Perfect for travel and quick touch-ups. Heats in 25 seconds with continuous steam output for professional results.</p><ul><li>1000W powerful steam</li><li>Heats in 25 seconds</li><li>270ml water tank</li><li>Safe for all fabrics</li><li>Compact travel design</li></ul>",Lumu,Garment Steamer,"Iron, Steamer, Garment, Home, Travel, Trending",TRUE,Color,Default,ZMZN131276004DW-GLD-ZAM,600,shopify,50,deny,manual,299.00,549.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMZN131276004DW-GLD-ZAM,1,Handheld Garment Steamer,Handheld Garment Steamer | Lumu,Wrinkle-free clothes in minutes. Powerful 1000W steamer with fast heat-up. Shop now at Lumu.,Home & Kitchen Essentials
copper-bracelet,Lumu™ Wide Pure Copper Healing Bracelet,"<p>Harness the natural healing properties of pure copper with this elegant wide bracelet. Believed to support joint health and improve circulation. Adjustable design fits most wrist sizes.</p><ul><li>99.9% pure copper</li><li>Magnetic therapy design</li><li>Adjustable fit</li><li>Elegant handcrafted finish</li><li>Unisex design</li></ul>",Lumu,Bracelet,"Bracelet, Copper, Jewelry, Health, Fashion, Gift, Accessories",TRUE,Color,Default,ZMSL223697001AZ-GLD-ZAM,80,shopify,100,deny,manual,89.00,179.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMSL223697001AZ-GLD-ZAM,1,Pure Copper Healing Bracelet,Pure Copper Healing Bracelet | Lumu,Elegant pure copper bracelet with magnetic therapy. Adjustable fit for men and women. Shop at Lumu.,Premium Fashion Accessories
onion-chopper,Lumu™ Pro Onion Chopper Multi-Cutter,"<p>No more tears while cutting onions! This professional onion chopper dices onions, potatoes, and vegetables perfectly every time. Multiple blade inserts for different cut sizes.</p><ul><li>Multiple blade sizes</li><li>Built-in container</li><li>Non-slip base</li><li>Stainless steel blades</li><li>Easy to clean</li></ul>",Lumu,Kitchen Tool,"Kitchen, Chopper, Onion, Vegetable, Home, Cooking",TRUE,Color,Default,ZMCJ170137301AZ-GLD-ZAM,400,shopify,100,deny,manual,69.00,139.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMCJ170137301AZ-GLD-ZAM,1,Pro Onion Chopper,Pro Onion Chopper Multi-Cutter | Lumu,No more tears while cutting onions. Professional chopper with multiple blade sizes. Shop at Lumu.,Home & Kitchen Essentials
intelligent-ashtray,Lumu™ Intelligent Air Purifier Ashtray,"<p>The smart ashtray that purifies the air around you. Built-in activated carbon filter absorbs smoke and eliminates odor instantly. Sleek modern design that complements any space.</p><ul><li>Activated carbon air purifier</li><li>Instant smoke absorption</li><li>USB rechargeable</li><li>Auto shut-off</li><li>Sleek modern design</li></ul>",Lumu,Ashtray,"Ashtray, Air Purifier, Home, Gadget, Gift, Trending",TRUE,Color,Default,ZMJT158971001AZ-GLD-ZAM,300,shopify,100,deny,manual,59.00,119.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJT158971001AZ-GLD-ZAM,1,Intelligent Air Purifier Ashtray,Intelligent Air Purifier Ashtray | Lumu,Smart ashtray with air purifier. Absorbs smoke and eliminates odor. Modern design. Shop at Lumu.,Home & Kitchen Essentials
dent-repair-puller,Lumu™ Car Dent Repair Puller Tool,"<p>Fix car dents yourself without expensive body shop visits. This professional-grade dent puller uses powerful suction to pop out dents from any flat surface. Works on cars, fridges, and more.</p><ul><li>Powerful suction cup</li><li>Works on multiple surfaces</li><li>No paint damage</li><li>Easy one-person operation</li><li>Compact and reusable</li></ul>",Lumu,Car Tool,"Car, Dent Repair, Auto, Tool, DIY",TRUE,Color,Default,ZMQT101212701AZ-GLD-ZAM,300,shopify,100,deny,manual,39.00,79.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMQT101212701AZ-GLD-ZAM,1,Car Dent Repair Puller,Car Dent Repair Puller Tool | Lumu,Fix car dents at home. Professional-grade suction puller tool. Free shipping across GCC.,Trending & Viral Finds
v-face-shaping-artifact,Lumu™ V-Face Shaping Lifting Device,"<p>Achieve a defined and sculpted jawline with this V-face shaping device. EMS micro-current technology tones facial muscles, reduces puffiness, and promotes a youthful V-line appearance.</p><ul><li>EMS micro-current technology</li><li>Reduces puffiness & double chin</li><li>Promotes V-line jawline</li><li>USB rechargeable</li><li>5 intensity levels</li></ul>",Lumu,Beauty Device,"Face Shaper, V-Face, Beauty, Skin Care, Anti-Aging, Trending",TRUE,Color,Default,ZMJT149935101AZ-GLD-ZAM,100,shopify,100,deny,manual,59.00,129.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJT149935101AZ-GLD-ZAM,1,V-Face Shaping Device,V-Face Shaping Lifting Device | Lumu,Sculpted jawline with EMS micro-current technology. Reduces puffiness for a V-line face. Shop at Lumu.,Health & Beauty
horse-leather-wallet,Lumu™ Premium Horse Leather Long Wallet,"<p>Elevate your everyday carry with this premium horse leather long wallet. Multiple card slots, bill compartment, and zippered coin pouch. Sleek design with RFID blocking protection.</p><ul><li>Genuine horse leather</li><li>RFID blocking technology</li><li>Multiple card slots</li><li>Zippered coin pouch</li><li>Gift box included</li></ul>",Lumu,Wallet,"Wallet, Leather, Men, Fashion, Accessories, Gift, Premium",TRUE,Color,Default,ZMQB177042301AZ-GLD-ZAM,150,shopify,100,deny,manual,89.00,179.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMQB177042301AZ-GLD-ZAM,1,Premium Horse Leather Wallet,Premium Horse Leather Long Wallet | Lumu,Elegant horse leather wallet with RFID blocking. Multiple card slots. Perfect gift. Shop at Lumu.,Premium Fashion Accessories
magnetic-phone-holder,Lumu™ Magnetic Rotation Phone Holder,"<p>Mount your phone anywhere with this powerful magnetic phone holder. 360° rotation for the perfect viewing angle. Strong neodymium magnets hold securely even on bumpy roads.</p><ul><li>360° rotation</li><li>Strong neodymium magnets</li><li>Universal compatibility</li><li>One-hand operation</li><li>Sleek minimalist design</li></ul>",Lumu,Phone Holder,"Phone, Holder, Magnetic, Car, Desk, Tech, Gadget",TRUE,Color,Default,ZMSJ174996901AZ-GLD-ZAM,100,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMSJ174996901AZ-GLD-ZAM,1,Magnetic Phone Holder,Magnetic Rotation Phone Holder | Lumu,Mount your phone anywhere with 360 rotation. Strong magnets hold securely. Free shipping across GCC.,Tech & Smart Gadgets
garlic-press,Lumu™ Multi-Function Garlic Press,"<p>Crush and mince garlic in seconds with this ergonomic garlic press. Heavy-duty zinc alloy construction with built-in cleaner. No peeling needed — just squeeze and go!</p><ul><li>Heavy-duty zinc alloy</li><li>No peeling required</li><li>Built-in cleaning tool</li><li>Ergonomic grip handle</li><li>Dishwasher safe</li></ul>",Lumu,Kitchen Tool,"Kitchen, Garlic Press, Cooking, Home, Gadget",TRUE,Color,Default,ZMJT149878601AZ-GLD-ZAM,200,shopify,100,deny,manual,49.00,99.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJT149878601AZ-GLD-ZAM,1,Multi-Function Garlic Press,Multi-Function Garlic Press | Lumu,Crush and mince garlic effortlessly. Heavy-duty construction with built-in cleaner. Shop now.,Home & Kitchen Essentials
smart-thermal-bottle,Lumu™ Smart Digital Thermal Water Bottle,"<p>Stay perfectly hydrated with this smart thermal bottle featuring a built-in LED temperature display. Double-wall vacuum insulation keeps drinks hot for 12 hours or cold for 24 hours.</p><ul><li>LED temperature display</li><li>Double-wall vacuum insulation</li><li>Hot 12hrs / Cold 24hrs</li><li>500ml capacity</li><li>Leak-proof design</li></ul>",Lumu,Water Bottle,"Water Bottle, Smart, Thermal, Gadget, Gift, Trending",TRUE,Color,Default,ZMJT192676805EV-GLD-ZAM,350,shopify,100,deny,manual,69.00,139.00,TRUE,TRUE,https://portal.myzambeel.com/gold-products/ZMJT192676805EV-GLD-ZAM,1,Smart Thermal Water Bottle,Smart Digital Thermal Water Bottle | Lumu,LED temperature display bottle. Keeps drinks hot 12hrs cold 24hrs. Free shipping across GCC.,Trending & Viral Finds
